#Time stamp (microseconds),Missing info,jobID,Task index,machine ID,Event type (0-SUBMIT 1-SCHEDULE 2-EVICT 3-FAIL 4-FINISH 5-KILL 6-LOST ...),username,Scheduling class,Priority,resource request for CPU cores (%),resource request for RAM (%),resource request for local disk space (%),different-machine constraint
0,,1,0,0,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.07446,0.2122,0
0,,1,1,0,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.07446,0.2122,0
0,,2,0,1,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.03125,0.08691,0.22745,0
0,,2,1,2,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.03125,0.08691,0.22745,0
0,,2,2,2,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.03125,0.08691,0.22745,0
0,,3,0,,0,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.0625,0.09277,0.247,0
0,,4,0,3,0,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
0,,4,1,3,0,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
0,,4,2,1,0,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
10000000,,4,3,1,0,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
10000000,,4,3,1,1,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
10000000,,1,0,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09082,0.2351,0
10000000,,1,1,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09082,0.2351,0
12000000,,2,0,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.0625,0.09277,0.247,0
14000000,,2,1,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.0625,0.09277,0.247,0
16000000,,2,2,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.0625,0.09277,0.247,0
21000000,,2,2,,3,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09021,0.41055,0
25000000,,3,0,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09021,0.41055,0
25000000,,4,0,,1,Xalks/empsl1000/0tursl=,3,9,0.125,0.09021,0.41055,0
25000000,,4,1,,1,Xalks/empsl1000/0tursl=,3,9,0.125,0.09021,0.41055,0
30000000,,4,2,,1,Xalks/empsl1000/0tursl=,3,9,0.125,0.09021,0.41055,0
30000000,,2,0,,2,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09021,0.41055,0
42000000,,2,0,,1,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.09021,0.41055,0
50000000,,1,0,0,4,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.07446,0.2122,0
50000000,,1,1,0,4,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.125,0.07446,0.2122,0
60000000,,2,0,1,4,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.03125,0.08691,0.22745,0
65000000,,2,1,2,4,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.03125,0.08691,0.22745,0
70000000,,3,0,,4,RyCO/1PCdI6fV/w+5a72xg=,3,9,0.0625,0.09277,0.247,0
70000000,,4,0,3,4,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
80000000,,4,1,3,4,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
90000000,,4,2,1,4,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
90000000,,4,3,1,4,Xalks/empsl1000/0tursl=,3,9,0.1875,0.09839,0.4306,0
